IP ADDRESS,ASN,NET RANGE,NETWORK NAME,NET NAME
216.239.43.133,AS15169,216.239.32.0 - 216.239.63.255,GOOGLE,
142.251.55.75,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
142.250.196.14,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
72.14.195.128,AS15169,72.14.192.0 - 72.14.255.255,GOOGLE,
216.239.43.131,AS15169,216.239.32.0 - 216.239.63.255,GOOGLE,
142.251.55.41,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
74.125.242.82,AS15169,74.125.0.0 - 74.125.255.255,GOOGLE,
209.85.250.91,AS15169,209.85.128.0 - 209.85.255.255,GOOGLE,
142.250.59.180,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
142.251.78.156,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
142.250.226.27,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
142.250.212.250,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
108.170.249.17,AS15169,108.170.192.0 - 108.170.255.255,GOOGLE,
142.250.61.131,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
142.250.217.164,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
74.125.242.65,AS15169,74.125.0.0 - 74.125.255.255,GOOGLE,
142.250.215.125,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
35.186.224.25,AS15169,35.184.0.0 - 35.191.255.255,GOOGLE,
108.170.246.176,AS15169,108.170.192.0 - 108.170.255.255,GOOGLE,
209.85.143.67,AS15169,209.85.128.0 - 209.85.255.255,GOOGLE,
172.253.65.166,AS15169,172.253.0.0 - 172.253.255.255,GOOGLE,
216.239.59.0,AS15169,216.239.32.0 - 216.239.63.255,GOOGLE,
192.178.72.196,AS15169,192.178.0.0 - 192.179.255.255,GOOGLE,
192.178.74.243,AS15169,192.178.0.0 - 192.179.255.255,GOOGLE,
142.251.51.42,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
142.250.234.59,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
108.170.242.225,AS15169,108.170.192.0 - 108.170.255.255,GOOGLE,
142.251.65.167,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
142.250.189.174,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
13.35.208.151,AS16509,13.24.0.0 - 13.59.255.255, Amazon Technologies Inc.,AT-88-Z
23.205.218.123,AS16625,23.192.0.0 - 23.223.255.255,"Akamai Technologies, Inc.",AKAMAI
116.51.26.110,AS17645,116.51.16.0 - 116.51.31.255,NTT Singapore Pte Ltd(m),NTT-GIN
183.83.249.10,AS18209,183.82.0.0 - 183.83.255.255,Beam Telecom Pvt Ltd,Beam-Core
104.120.173.156,AS18209,104.64.0.0 - 104.127.255.255,"Akamai Technologies, Inc.", AKAMAI
183.83.251.98,AS18209,183.82.0.0 - 183.83.255.255,Beam Telecom Pvt Ltd(d),BEAMTELE-IN
183.82.12.70,AS18209,183.82.12.1 - 183.82.12.254,"BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd, IN",
183.82.14.57,AS18209,183.82.14.1 - 183.82.14.254,"BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd, IN",
183.83.249.10,AS18209,183.82.0.0 - 183.83.255.255,"BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd, IN",
183.82.14.78,AS18209,183.82.14.1 - 183.82.14.254,"BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd, IN",
183.83.249.10,AS18209,183.82.0.0 - 183.83.255.255,"BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd, IN",
183.82.14.78,AS18209,183.82.14.1 - 183.82.14.254,"BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd, IN",
183.82.12.38,AS18209,183.82.12.1 - 183.82.12.254,"BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd, IN",
162.125.81.18,AS19679,162.125.0.0 - 162.125.255.255,DROPBOX,
162.125.86.141,AS19679,162.125.0.0 - 162.125.255.255,"BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd, IN",
162.125.81.18,AS19679,162.125.0.0 - 162.125.255.255,DROPBOX,
162.125.86.141,AS19679,162.125.0.0 - 162.125.255.255,DROPBOX,
162.125.81.18,AS19679,162.125.0.0 - 162.125.255.255,DROPBOX,
162.125.86.141,AS19679,162.125.0.0 - 162.125.255.255,DROPBOX,
162.125.8.18,AS19679,162.125.0.0 - 162.125.255.255,DROPBOX,
162.125.0.109,AS19679,162.125.0.0 - 162.125.255.255,DROPBOX,
162.125.8.18,AS19679,162.125.0.0 - 162.125.255.255,DROPBOX,
170.114.52.2,AS209242,170.114.0.0 - 170.114.255.255,"CLOUDFLARESPECTRUM Cloudflare, Inc.",
104.120.173.156,AS20940,104.64.0.0 - 104.127.255.255,"Akamai Technologies, Inc.", AKAMAI
23.205.218.123,AS20940,23.192.0.0 - 23.223.255.255,"Akamai Technologies, Inc.",AKAMAI
206.223.118.162,AS22884,206.223.118.0 - 206.223.118.255,"TOTAL PLAY TELECOMUNICACIONES SA DE CV, MX",
103.16.203.66 ,AS24309, 103.16.202.0 - 103.16.203.255,Beam Telecom Pvt Ltd(d),ACTFIBERNET
103.16.203.66,AS24309,103.16.202.0 - 103.16.203.255,"CABLELITE-AS-AP Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA, IN",
129.250.2.240,AS2914,129.250.0.0 - 129.250.255.255,"NTT America, Inc.",NTTA-129-250
116.51.26.110,AS2914,116.51.16.0 - 116.51.31.255,NTT Singapore Pte Ltd(m),NTT-GIN
157.240.23.35,AS32934,157.240.0.0 - 157.240.255.255,"Facebook, Inc.",THEFA-3
129.134.34.175,AS32934,129.134.0.0 - 129.134.255.255,"Facebook, Inc.",
157.240.23.53,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
157.240.81.68,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
129.134.34.181,AS32934,129.134.0.0 - 129.134.255.255,FACEBOOK,
173.252.67.169,AS32934,173.252.64.0 - 173.252.127.255,FACEBOOK,
157.240.23.35,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
157.240.68.92,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
129.134.34.153,AS32934,129.134.0.0 - 129.134.255.255,FACEBOOK,
157.240.38.125,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
157.240.23.53,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
157.240.68.92,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
129.134.34.153,AS32934,129.134.0.0 - 129.134.255.255,FACEBOOK,
173.252.67.53,AS32934,173.252.64.0 - 173.252.127.255,FACEBOOK,
157.240.16.35,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
157.240.68.238,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
157.240.44.31,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
157.240.38.227,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
157.240.16.52,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
157.240.66.204,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
157.240.44.27,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
173.252.67.125,AS32934,173.252.64.0 - 173.252.127.255,FACEBOOK,
129.134.64.142,AS32934,129.134.0.0 - 129.134.255.255,FACEBOOK,
157.240.58.179,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
157.240.39.53,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
157.240.14.35,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
129.134.64.164,AS32934,129.134.0.0 - 129.134.255.255,FACEBOOK,
157.240.58.179,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
157.240.39.31,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
157.240.14.52,AS32934,157.240.0.0 - 157.240.255.255,FACEBOOK,
98.136.158.183,AS36647,98.136.0.0 - 98.139.255.255,YAHOO-GQ1,
98.136.159.246,AS36647,98.136.0.0 - 98.139.255.255,YAHOO-GQ1,
98.137.11.163,AS36647,98.136.0.0 - 98.139.255.255,YAHOO-GQ1,
34.98.127.226,AS396982,34.64.0.0 - 34.127.255.255,GOOGLE-CLOUD-PLATFORM,
210.57.30.101,AS4637,210.57.30.100 - 210.57.30.101,"ASN-TELSTRA-GLOBAL Telstra Global, HK",
210.57.53.84,AS4637,210.57.53.0 - 210.57.53.255,"ASN-TELSTRA-GLOBAL Telstra Global, HK",
202.84.219.174,AS4637,202.84.128.0 - 202.84.255.255,"ASN-TELSTRA-GLOBAL Telstra Global, HK",
202.84.224.197,AS4637,202.84.128.0 - 202.84.255.255,"ASN-TELSTRA-GLOBAL Telstra Global, HK",
210.176.138.253,AS4637,210.176.138.252 - 210.176.138.253,"BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd, IN",
14.142.71.49,AS4755,14.140.0.0 - 14.143.255.255,Tata Communications Limited,TATACOMM-IN
115.114.112.242,AS4755,115.112.0.0 - 115.119.255.255,Tata Communications Limited,TATACOMM-IN
14.141.123.226,AS4755,14.140.0.0 - 14.143.255.255,Tata Communications Limited,TATACOMM-IN
14.142.71.205,AS4755,14.140.0.0 - 14.143.255.255,"TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN",
27.111.228.186,AS4775,27.111.224.0 - 27.111.239.255,Equinix Singapore Pte Ltd,
27.111.228.3,AS4775,27.111.224.0 - 27.111.239.255,"GLOBE-TELECOM-AS Globe Telecoms, PH",
27.111.229.7,AS4775,27.111.224.0 - 27.111.239.255,Equinix Singapore Pte Ltd,
199.232.104.81,AS54113,199.232.0.0 - 199.232.255.255,"Fastly, Inc.",SKYCA-3
199.232.105.164,AS54113,199.232.0.0 - 199.232.255.255,"Fastly, Inc.",SKYCA-3
151.101.65.69,AS54113,151.101.0.0 - 151.101.255.255,"Fastly, Inc.",SKYCA-3
199.232.107.5,AS54113,199.232.0.0 - 199.232.255.255,"Fastly, Inc.",SKYCA-3
199.232.105.111,AS54113,199.232.0.0 - 199.232.255.255,"Fastly, Inc.",SKYCA-3
151.101.156.81,AS54113,151.101.0.0 - 151.101.255.255,FASTLY,
151.101.152.81,AS54113,151.101.0.0 - 151.101.255.255,FASTLY,
151.101.40.81,AS54113,151.101.0.0 - 151.101.255.255,FASTLY,
157.48.84.101,AS55836,157.48.0.0 - 157.51.255.255,"RELIANCEJIO-IN Reliance Jio Infocomm Limited, IN",
49.45.4.82,AS55836,49.32.0.0 - 49.47.255.255,"RJIPL-SG Reliance Jio Infocomm Pte Ltd Singapore, SG",
115.247.100.29,AS55836,115.240.0.0 - 115.247.255.255,"RELIANCEJIO-IN Reliance Jio Infocomm Limited, IN",
49.44.187.157,AS55836,49.32.0.0 - 49.47.255.255,"RELIANCEJIO-IN Reliance Jio Infocomm Limited, IN",
115.247.100.29,AS55836,115.240.0.0 - 115.247.255.255,"RELIANCEJIO-IN Reliance Jio Infocomm Limited, IN",
115.247.100.29,AS55836,115.240.0.0 - 115.247.255.255,"RELIANCEJIO-IN Reliance Jio Infocomm Limited, IN",
202.165.107.49,AS56173,202.165.104.0 - 202.165.107.255,"YAHOO-SG3 internet content provider, SG",
106.10.128.7,AS56173,106.10.128.0 - 106.10.191.255,"YAHOO-SG3 internet content provider, SG",
106.10.131.215,AS56173,106.10.128.0 - 106.10.191.255,"YAHOO-SG3 internet content provider, SG",
106.10.128.246,AS56173,106.10.128.0 - 106.10.191.255,"YAHOO-SG3 internet content provider, SG",
202.165.107.49,AS56173,202.165.104.0 - 202.165.107.255,"YAHOO-SG3 internet content provider, SG",
106.10.128.3,AS56173,106.10.128.0 - 106.10.191.255,"YAHOO-SG3 internet content provider, SG",
106.10.131.214,AS56173,106.10.128.0 - 106.10.191.255,"YAHOO-SG3 internet content provider, SG",
106.10.128.247,AS56173,106.10.128.0 - 106.10.191.255,"YAHOO-SG3 internet content provider, SG",
202.165.107.49,AS56173,202.165.104.0 - 202.165.107.255,"YAHOO-SG3 internet content provider, SG",
106.10.128.9,AS56173,106.10.128.0 - 106.10.191.255,"YAHOO-SG3 internet content provider, SG",
106.10.131.214,AS56173,106.10.128.0 - 106.10.191.255,"YAHOO-SG3 internet content provider, SG",
106.10.128.247,AS56173,106.10.128.0 - 106.10.191.255,"YAHOO-SG3 internet content provider, SG",
103.232.241.2,AS59193,103.232.241.0 - 103.232.241.255,"D3079306AFIN-AS IIT Hyderabad, IN",
103.232.241.2,AS59193,103.232.241.0 - 103.232.241.255,"D3079306AFIN-AS IIT Hyderabad, IN",
103.198.140.64,AS64049,103.198.140.0 - 103.198.140.255,"RJIPL-SG Reliance Jio Infocomm Pte Ltd Singapore, SG",
103.198.140.89,AS64049,103.198.140.0 - 103.198.140.255,"RJIPL-SG Reliance Jio Infocomm Pte Ltd Singapore, SG",
103.198.140.170,AS64049,103.198.140.0 - 103.198.140.255,"RJIPL-SG Reliance Jio Infocomm Pte Ltd Singapore, SG",
103.198.140.209,AS64049,103.198.140.0 - 103.198.140.255,"RJIPL-SG Reliance Jio Infocomm Pte Ltd Singapore, SG",
103.198.140.170,AS64049,103.198.140.0 - 103.198.140.255,"RJIPL-SG Reliance Jio Infocomm Pte Ltd Singapore, SG",
49.45.4.82,AS64049,49.32.0.0 - 49.47.255.255,"RJIPL-SG Reliance Jio Infocomm Pte Ltd Singapore, SG",
103.198.140.64,AS64049,103.198.140.0 - 103.198.140.255,"RJIPL-SG Reliance Jio Infocomm Pte Ltd Singapore, SG",
103.198.140.15,AS64049,103.198.140.0 - 103.198.140.255,"RJIPL-SG Reliance Jio Infocomm Pte Ltd Singapore, SG",
180.87.36.165,AS6453,180.87.36.0 - 180.87.36.255,Tata Communications (CANADA) Ltd.(m),CXR-TCORE1-TATAC
180.87.107.0,AS6453, 180.87.107.0 - 180.87.107.255,Tata Communications (CANADA) Ltd.(m),SVQECORE2-TATAC
120.29.214.10,AS6453, 120.29.214.0 - 120.29.214.255,Tata Communications (CANADA) Ltd.(m),SGP-SVQ-TATAC
180.87.98.69,AS6453,180.87.98.0 - 180.87.98.255,Tata Communications (CANADA) Ltd.(m),SVQ-TATAC
180.87.164.62,AS6453,180.87.164.0 - 180.87.164.255,Tata Communications (CANADA) Ltd.(m),GINTHR1-TATAC
180.87.36.165,AS6453,180.87.15.0 - 180.87.15.255,Tata Communications (CANADA) Ltd.(m),SGP-svw-TATAC
180.87.15.113,AS6453,180.87.15.0 - 180.87.15.255,Tata Communications (CANADA) Ltd.(m),SGP-svw-TATAC
180.87.108.163,AS6453,180.87.108.0 - 180.87.108.255,Tata Communications (CANADA) Ltd.(m),SVQECORE2-TATAC
180.87.36.9,AS6453,180.87.36.0 - 180.87.36.255,AS6453,
180.87.36.41,AS6453,180.87.36.0 - 180.87.36.255,AS6453,
180.87.54.7,AS6453,180.87.0.0 - 180.87.127.255,AS6453,
180.87.15.5,AS6453,180.87.15.0 - 180.87.15.255,AS6453,
180.87.15.249,AS6453,180.87.15.0 - 180.87.15.255,AS6453,
216.218.252.55,AS6939,216.218.128.0 - 216.218.255.255,HURRICANE,
184.104.188.100,AS6939,184.104.0.0 - 184.105.255.255,HURRICANE,
184.105.81.218,AS6939,184.104.0.0 - 184.105.255.255,HURRICANE,
184.104.197.218,AS6939,184.104.0.0 - 184.105.255.255,HURRICANE,
184.104.198.38,AS6939,184.104.0.0 - 184.105.255.255,HURRICANE,
184.105.64.213,AS6939,184.104.0.0 - 184.105.255.255,HURRICANE,
163.53.76.86,AS9752, 163.53.76.0 - 163.53.79.255,Flipkart Internet Pvt Ltd(d),FK-NET-IN
140.248.64.144 ,None,,,
172.31.167.58,None,,,
140.248.64.144,None,,,
172.31.180.57,None,,,
140.248.64.144,None,,,
15.230.47.7,None,,,
150.222.252.96,None,,,
52.93.140.140,None,,,
52.93.140.255,None,,,
140.248.64.144,None,,,
172.31.180.57,None,,,
172.31.180.57,None,,,
172.25.124.208,None,,,
172.25.124.212,None,,,
172.25.124.208,None,,,
172.25.124.208,None,,,
172.25.124.208,None,,,
172.25.124.208,None,,,
172.25.124.206,None,,,
172.25.124.210,None,,,
172.25.124.208,None,,,
172.25.124.208,None,,,
192.168.0.102,None,,,
10.119.254.121,None,,,
10.119.73.122,None,,,
192.168.41.1,None,,,
192.168.8.18,None,,,
10.255.232.201,None,,,
10.152.7.38,None,,,
10.119.254.121,None,,,
10.160.24.5,None,,,
10.255.221.33,None,,,
10.255.222.33,None,,,
10.119.73.122,None,,,
10.119.254.121,None,,,
10.255.232.201,None,,,
10.152.7.214,None,,,
10.152.7.233,None,,,
10.119.73.122,None,,,
195.66.224.125,None,,,
206.223.116.69,None,,,
206.223.117.41,None,,,
195.66.224.125,None,,,
185.1.104.86,None,,,
198.32.118.24,None,,,
195.66.224.125,None,,,
